2020-10-15 19:19:46,153 | root | INFO | This message will be logged
2020-10-15 19:19:46,153 | root | DEBUG | This message will not be logged
2020-10-15 19:22:04,296 | root | INFO | Example of logging with ISO-8601 timestamp
2020-10-15 19:33:03,115 root.<module> +6: INFO     [7207] This message will be logged
2020-10-15 19:33:03,115 root.<module> +7: DEBUG    [7207] This message will not be logged
2020-10-15 19:33:10,928 root.<module> +6: INFO     [7212] This message will be logged
2020-10-15 19:33:10,928 root.<module> +7: DEBUG    [7212] This message will not be logged
2020-10-15 19:34:10,152 parso.cache._load_from_file_system +143: DEBUG    [7212] pickle loaded: /Users/vito/opt/anaconda3/envs/ml/lib/python3.7/site-packages/jedi/third_party/typeshed/stdlib/2and3/builtins.pyi
2020-10-15 19:34:10,157 parso.cache._load_from_file_system +143: DEBUG    [7212] pickle loaded: /Users/vito/opt/anaconda3/envs/ml/lib/python3.7/site-packages/jedi/third_party/typeshed/stdlib/3/sys.pyi
2020-10-15 19:34:10,452 parso.python.diff.update +282: DEBUG    [7212] diff parser start
2020-10-15 19:34:10,452 parso.python.diff.update +293: DEBUG    [7212] line_lengths old: 3; new: 3
2020-10-15 19:34:10,452 parso.python.diff.update +297: DEBUG    [7212] -> code[equal] old[1:2] new[1:2]
2020-10-15 19:34:10,452 parso.python.diff._copy_from_old_parser +380: DEBUG    [7212] copy old[1:1] new[1:1]
2020-10-15 19:34:10,453 parso.python.diff._parse +425: DEBUG    [7212] parse_part from 2 to 3 (to 2 in part parser)
2020-10-15 19:34:10,453 parso.python.diff.update +297: DEBUG    [7212] -> code[replace] old[3:3] new[3:3]
2020-10-15 19:34:10,453 parso.python.diff.update +339: DEBUG    [7212] diff parser end
2020-10-15 19:34:10,618 parso.python.diff.update +282: DEBUG    [7212] diff parser start
2020-10-15 19:34:10,618 parso.python.diff.update +293: DEBUG    [7212] line_lengths old: 3; new: 3
2020-10-15 19:34:10,618 parso.python.diff.update +297: DEBUG    [7212] -> code[equal] old[1:2] new[1:2]
2020-10-15 19:34:10,619 parso.python.diff._copy_from_old_parser +380: DEBUG    [7212] copy old[1:1] new[1:1]
2020-10-15 19:34:10,619 parso.python.diff._parse +425: DEBUG    [7212] parse_part from 2 to 3 (to 2 in part parser)
2020-10-15 19:34:10,619 parso.python.diff.update +297: DEBUG    [7212] -> code[replace] old[3:3] new[3:3]
2020-10-15 19:34:10,619 parso.python.diff.update +339: DEBUG    [7212] diff parser end
2020-10-15 19:34:19,849 root.<module> +6: INFO     [7239] This message will be logged
2020-10-15 19:46:30,445 jieba_fast.initialize +117: DEBUG    [7239] Building prefix dict from the default dictionary ...
2020-10-15 19:46:30,447 jieba_fast.initialize +137: DEBUG    [7239] Loading model from cache /var/folders/j3/469syj552jx4gt9n73lycfh00000gn/T/jieba.cache
2020-10-15 19:46:31,008 jieba_fast.initialize +169: DEBUG    [7239] Loading model cost 0.562 seconds.
2020-10-15 19:46:31,009 jieba_fast.initialize +170: DEBUG    [7239] Prefix dict has been built succesfully.
2020-10-15 19:53:32,166 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #0 to Dictionary(0 unique tokens: [])
2020-10-15 19:53:32,439 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #10000 to Dictionary(43742 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:32,688 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #20000 to Dictionary(66639 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:32,943 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #30000 to Dictionary(83713 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:33,230 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #40000 to Dictionary(98202 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:33,499 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #50000 to Dictionary(111439 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:33,743 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #60000 to Dictionary(123078 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:34,039 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #70000 to Dictionary(133783 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:34,297 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #80000 to Dictionary(143363 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
2020-10-15 19:53:34,583 gensim.corpora.dictionary.add_documents +209: INFO     [7239] adding document #90000 to Dictionary(152529 unique tokens: ['五角星', '件', '伦伦', '余', '周小伦']...)
